FileVersion	TransferId	ReportDate	StudyId	AssayVersion
D0004490-rev4	abfdbb69-ad4c-4feb-8218-7764b6995b66	2022-09-08	SS-2216784	v4.1

SampleId	SampleName	ExtIdentifier	RowCheck	TestName	ProductIDandVersion	PredictedValue	Units	PredictedClass	UseClass
63	a0y4W00000kgfiwQAA	EXID40000007910339	PASS	Time-to-Decant Plasma	R1144 V01	2.6	Hours		Research Use Only
63	a0y4W00000kgfiwQAA	EXID40000007910339	PASS	Time-to-Freeze Plasma	R1145 V01	4.1	Hours		Research Use Only
63	a0y4W00000kgfiwQAA	EXID40000007910339	PASS	Fed-Fasted Plasma	R1152 V01	6.1	Hours		Research Use Only
63	a0y4W00000kgfiwQAA	EXID40000007910339	PASS	Freeze-Thaw Plasma	R1154 V01	5.8	Cycles		Research Use Only
87149 (44)	a0y4W00000kgfimQAA	EXID40000007910348	PASS	Time-to-Spin Plasma	R1143 V01	11.8	Hours		Research Use Only
87149 (44)	a0y4W00000kgfimQAA	EXID40000007910348	PASS	Time-to-Decant Plasma	R1144 V01	14.1	Hours		Research Use Only
87149 (44)	a0y4W00000kgfimQAA	EXID40000007910348	PASS	Time-to-Freeze Plasma	R1145 V01	9.5	Hours		Research Use Only
87149 (44)	a0y4W00000kgfimQAA	EXID40000007910348	PASS	Fed-Fasted Plasma	R1152 V01	5.3	Hours		Research Use Only
87149 (44)	a0y4W00000kgfimQAA	EXID40000007910348	PASS	Freeze-Thaw Plasma	R1154 V01	6.6	Cycles		Research Use Only
25	a0y4W00000kgfieQAA	EXID40000007910454	PASS	Time-to-Spin Plasma	R1143 V01	2.9	Hours		Research Use Only
25	a0y4W00000kgfieQAA	EXID40000007910454	PASS	Time-to-Decant Plasma	R1144 V01	4.0	Hours		Research Use Only
25	a0y4W00000kgfieQAA	EXID40000007910454	PASS	Time-to-Freeze Plasma	R1145 V01	3.5	Hours		Research Use Only
25	a0y4W00000kgfieQAA	EXID40000007910454	PASS	Fed-Fasted Plasma	R1152 V01	4.8	Hours		Research Use Only
25	a0y4W00000kgfieQAA	EXID40000007910454	PASS	Freeze-Thaw Plasma	R1154 V01	4.4	Cycles		Research Use Only
30	a0y4W00000kgfigQAA	EXID40000007910344	PASS	Time-to-Spin Plasma	R1143 V01	9.4	Hours		Research Use Only
30	a0y4W00000kgfigQAA	EXID40000007910344	PASS	Time-to-Decant Plasma	R1144 V01	9.3	Hours		Research Use Only
30	a0y4W00000kgfigQAA	EXID40000007910344	PASS	Time-to-Freeze Plasma	R1145 V01	4.5	Hours		Research Use Only
30	a0y4W00000kgfigQAA	EXID40000007910344	PASS	Fed-Fasted Plasma	R1152 V01	4.2	Hours		Research Use Only
30	a0y4W00000kgfigQAA	EXID40000007910344	PASS	Freeze-Thaw Plasma	R1154 V01	7.9	Cycles		Research Use Only
223	a0y4W00000kgfjIQAQ	EXID40000007910338	PASS	Time-to-Spin Plasma	R1143 V01	0.0	Hours		Research Use Only
223	a0y4W00000kgfjIQAQ	EXID40000007910338	PASS	Time-to-Decant Plasma	R1144 V01	0.0	Hours		Research Use Only
223	a0y4W00000kgfjIQAQ	EXID40000007910338	PASS	Time-to-Freeze Plasma	R1145 V01	0.8	Hours		Research Use Only
223	a0y4W00000kgfjIQAQ	EXID40000007910338	PASS	Fed-Fasted Plasma	R1152 V01	5.0	Hours		Research Use Only
223	a0y4W00000kgfjIQAQ	EXID40000007910338	PASS	Freeze-Thaw Plasma	R1154 V01	3.9	Cycles		Research Use Only
19	a0y4W00000kgfibQAA	EXID40000007910320	PASS	Time-to-Spin Plasma	R1143 V01	2.1	Hours		Research Use Only
19	a0y4W00000kgfibQAA	EXID40000007910320	PASS	Time-to-Decant Plasma	R1144 V01	1.7	Hours		Research Use Only
19	a0y4W00000kgfibQAA	EXID40000007910320	PASS	Time-to-Freeze Plasma	R1145 V01	5.0	Hours		Research Use Only
19	a0y4W00000kgfibQAA	EXID40000007910320	PASS	Fed-Fasted Plasma	R1152 V01	5.5	Hours		Research Use Only
19	a0y4W00000kgfibQAA	EXID40000007910320	PASS	Freeze-Thaw Plasma	R1154 V01	5.5	Cycles		Research Use Only
316	a0y4W00000kgfjTQAQ	EXID40000007910045	PASS	Time-to-Spin Plasma	R1143 V01	14.8	Hours		Research Use Only
316	a0y4W00000kgfjTQAQ	EXID40000007910045	PASS	Time-to-Decant Plasma	R1144 V01	0.9	Hours		Research Use Only
316	a0y4W00000kgfjTQAQ	EXID40000007910045	PASS	Time-to-Freeze Plasma	R1145 V01	0.0	Hours		Research Use Only
